SinkClassification,CommandLine,EnvironmentVariable,File,Network,NumberOfElementsCopiedWithinBounds,ArrayWriteIndexWithinBounds,FormatStringPrecisionWithinBounds,StringCopyWithinBounds,IsCharacterCaseConversionSink,Vulnerable?
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
1,0,0,0,0,-1,-1,-1,0,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
1,0,0,0,0,-1,-1,-1,0,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
1,0,0,0,0,-1,-1,-1,0,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
1,0,0,0,0,1,-1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
1,0,0,0,0,0,-1,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
1,0,0,0,0,-1,-1,-1,1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
7,0,0,0,0,-1,1,-1,-1,-1,1
7,0,0,0,0,-1,0,-1,-1,-1,0
